asset_tag,name,category,serial_number,acquisition_date,condition_notes,location,is_bookable,status
AF-0001-01,HP EliteBook 840,Electronics,HP84021-01,10-01-2024,Good,IT Floor 2,TRUE,Available
AF-0001-02,HP EliteBook 840,Electronics,HP84021-02,10-01-2024,Good,IT Floor 2,TRUE,Available
AF-0001-03,HP EliteBook 840,Electronics,HP84021-03,10-01-2024,Good,IT Floor 2,TRUE,Available
AF-0001-04,HP EliteBook 840,Electronics,HP84021-04,10-01-2024,Good,IT Floor 2,TRUE,Available
AF-0001-05,HP EliteBook 840,Electronics,HP84021-05,10-01-2024,Good,IT Floor 2,TRUE,Available
AF-0001-06,HP EliteBook 840,Electronics,HP84021-06,10-01-2024,Good,IT Floor 2,TRUE,Available
AF-0001-07,HP EliteBook 840,Electronics,HP84021-07,10-01-2024,Good,IT Floor 2,TRUE,Available
AF-0001-08,HP EliteBook 840,Electronics,HP84021-08,10-01-2024,Good,IT Floor 2,TRUE,Available
AF-0002-01,HP ProBook 450,Electronics,HP45019-01,05-11-2023,Good,IT Floor 1,TRUE,Available
AF-0002-02,HP ProBook 450,Electronics,HP45019-02,05-11-2023,Good,IT Floor 1,TRUE,Available
AF-0002-03,HP ProBook 450,Electronics,HP45019-03,05-11-2023,Good,IT Floor 1,TRUE,Available
AF-0002-04,HP ProBook 450,Electronics,HP45019-04,05-11-2023,Good,IT Floor 1,TRUE,Available
AF-0002-05,HP ProBook 450,Electronics,HP45019-05,05-11-2023,Good,IT Floor 1,TRUE,Available
AF-0002-06,HP ProBook 450,Electronics,HP45019-06,05-11-2023,Good,IT Floor 1,TRUE,Available
AF-0003-01,HP Victus 15,Electronics,VIC15022-01,18-03-2024,Good,IT Floor 2,TRUE,Available
AF-0003-02,HP Victus 15,Electronics,VIC15022-02,18-03-2024,Good,IT Floor 2,TRUE,Available
AF-0003-03,HP Victus 15,Electronics,VIC15022-03,18-03-2024,Good,IT Floor 2,TRUE,Available
AF-0003-04,HP Victus 15,Electronics,VIC15022-04,18-03-2024,Good,IT Floor 2,TRUE,Available
AF-0003-05,HP Victus 15,Electronics,VIC15022-05,18-03-2024,Good,IT Floor 2,TRUE,Available
AF-0004-01,HP Victus 16,Electronics,VIC16045-01,02-05-2024,Good,IT Floor 2,FALSE,Under Maintenance
AF-0004-02,HP Victus 16,Electronics,VIC16045-02,02-05-2024,Good,IT Floor 2,TRUE,Available
AF-0004-03,HP Victus 16,Electronics,VIC16045-03,02-05-2024,Good,IT Floor 2,TRUE,Available
AF-0004-04,HP Victus 16,Electronics,VIC16045-04,02-05-2024,Good,IT Floor 2,TRUE,Available
AF-0005-01,HP Victus 15 Gaming,Electronics,VIC15087-01,14-08-2023,Fair,IT Floor 2,FALSE,Allocated
AF-0005-02,HP Victus 15 Gaming,Electronics,VIC15087-02,14-08-2023,Fair,IT Floor 2,TRUE,Available
AF-0005-03,HP Victus 15 Gaming,Electronics,VIC15087-03,14-08-2023,Fair,IT Floor 2,TRUE,Available
AF-0008-01,Sony WH-1000XM4 Headset,Electronics,SNY55210-01,14-02-2024,Good,IT Floor 2,TRUE,Available
AF-0008-02,Sony WH-1000XM4 Headset,Electronics,SNY55210-02,14-02-2024,Good,IT Floor 2,TRUE,Available
AF-0008-03,Sony WH-1000XM4 Headset,Electronics,SNY55210-03,14-02-2024,Good,IT Floor 2,TRUE,Available
AF-0008-04,Sony WH-1000XM4 Headset,Electronics,SNY55210-04,14-02-2024,Good,IT Floor 2,TRUE,Available
AF-0008-05,Sony WH-1000XM4 Headset,Electronics,SNY55210-05,14-02-2024,Good,IT Floor 2,TRUE,Available
AF-0008-06,Sony WH-1000XM4 Headset,Electronics,SNY55210-06,14-02-2024,Good,IT Floor 2,TRUE,Available
AF-0008-07,Sony WH-1000XM4 Headset,Electronics,SNY55210-07,14-02-2024,Good,IT Floor 2,TRUE,Available
AF-0008-08,Sony WH-1000XM4 Headset,Electronics,SNY55210-08,14-02-2024,Good,IT Floor 2,TRUE,Available
AF-0008-09,Sony WH-1000XM4 Headset,Electronics,SNY55210-09,14-02-2024,Good,IT Floor 2,TRUE,Available
AF-0008-10,Sony WH-1000XM4 Headset,Electronics,SNY55210-10,14-02-2024,Good,IT Floor 2,TRUE,Available
AF-0009-01,Jabra Evolve Headset,Electronics,JBR55211-01,14-02-2024,Good,Ops Floor 1,TRUE,Available
AF-0009-02,Jabra Evolve Headset,Electronics,JBR55211-02,14-02-2024,Good,Ops Floor 1,TRUE,Available
AF-0009-03,Jabra Evolve Headset,Electronics,JBR55211-03,14-02-2024,Good,Ops Floor 1,TRUE,Available
AF-0009-04,Jabra Evolve Headset,Electronics,JBR55211-04,14-02-2024,Good,Ops Floor 1,TRUE,Available
AF-0009-05,Jabra Evolve Headset,Electronics,JBR55211-05,14-02-2024,Good,Ops Floor 1,TRUE,Available
AF-0009-06,Jabra Evolve Headset,Electronics,JBR55211-06,14-02-2024,Good,Ops Floor 1,TRUE,Available
AF-0009-07,Jabra Evolve Headset,Electronics,JBR55211-07,14-02-2024,Good,Ops Floor 1,TRUE,Available
AF-0009-08,Jabra Evolve Headset,Electronics,JBR55211-08,14-02-2024,Good,Ops Floor 1,TRUE,Available
AF-0009-09,Jabra Evolve Headset,Electronics,JBR55211-09,14-02-2024,Good,Ops Floor 1,TRUE,Available
AF-0009-10,Jabra Evolve Headset,Electronics,JBR55211-10,14-02-2024,Good,Ops Floor 1,TRUE,Available
AF-0009-11,Jabra Evolve Headset,Electronics,JBR55211-11,14-02-2024,Good,Ops Floor 1,TRUE,Available
AF-0009-12,Jabra Evolve Headset,Electronics,JBR55211-12,14-02-2024,Good,Ops Floor 1,TRUE,Available
AF-0010-01,Apple AirPods Pro,Electronics,APP99011-01,20-04-2024,Good,IT Floor 2,TRUE,Available
AF-0010-02,Apple AirPods Pro,Electronics,APP99011-02,20-04-2024,Good,IT Floor 2,TRUE,Available
AF-0010-03,Apple AirPods Pro,Electronics,APP99011-03,20-04-2024,Good,IT Floor 2,TRUE,Available
AF-0010-04,Apple AirPods Pro,Electronics,APP99011-04,20-04-2024,Good,IT Floor 2,TRUE,Available
AF-0010-05,Apple AirPods Pro,Electronics,APP99011-05,20-04-2024,Good,IT Floor 2,TRUE,Available
AF-0010-06,Apple AirPods Pro,Electronics,APP99011-06,20-04-2024,Good,IT Floor 2,TRUE,Available
AF-0010-07,Apple AirPods Pro,Electronics,APP99011-07,20-04-2024,Good,IT Floor 2,TRUE,Available
AF-0010-08,Apple AirPods Pro,Electronics,APP99011-08,20-04-2024,Good,IT Floor 2,TRUE,Available
AF-0010-09,Apple AirPods Pro,Electronics,APP99011-09,20-04-2024,Good,IT Floor 2,TRUE,Available
AF-0010-10,Apple AirPods Pro,Electronics,APP99011-10,20-04-2024,Good,IT Floor 2,TRUE,Available
AF-0010-11,Apple AirPods Pro,Electronics,APP99011-11,20-04-2024,Good,IT Floor 2,TRUE,Available
AF-0010-12,Apple AirPods Pro,Electronics,APP99011-12,20-04-2024,Good,IT Floor 2,TRUE,Available
AF-0010-13,Apple AirPods Pro,Electronics,APP99011-13,20-04-2024,Good,IT Floor 2,TRUE,Available
AF-0010-14,Apple AirPods Pro,Electronics,APP99011-14,20-04-2024,Good,IT Floor 2,TRUE,Available
AF-0010-15,Apple AirPods Pro,Electronics,APP99011-15,20-04-2024,Good,IT Floor 2,TRUE,Available
AF-0011-01,Apple AirPods Pro 2,Electronics,APP99012-01,01-06-2024,Good,IT Floor 2,TRUE,Available
AF-0011-02,Apple AirPods Pro 2,Electronics,APP99012-02,01-06-2024,Good,IT Floor 2,TRUE,Available
AF-0011-03,Apple AirPods Pro 2,Electronics,APP99012-03,01-06-2024,Good,IT Floor 2,TRUE,Available
AF-0011-04,Apple AirPods Pro 2,Electronics,APP99012-04,01-06-2024,Good,IT Floor 2,TRUE,Available
AF-0011-05,Apple AirPods Pro 2,Electronics,APP99012-05,01-06-2024,Good,IT Floor 2,TRUE,Available
AF-0011-06,Apple AirPods Pro 2,Electronics,APP99012-06,01-06-2024,Good,IT Floor 2,TRUE,Available
AF-0011-07,Apple AirPods Pro 2,Electronics,APP99012-07,01-06-2024,Good,IT Floor 2,TRUE,Available
AF-0011-08,Apple AirPods Pro 2,Electronics,APP99012-08,01-06-2024,Good,IT Floor 2,TRUE,Available
AF-0011-09,Apple AirPods Pro 2,Electronics,APP99012-09,01-06-2024,Good,IT Floor 2,TRUE,Available
AF-0011-10,Apple AirPods Pro 2,Electronics,APP99012-10,01-06-2024,Good,IT Floor 2,TRUE,Available
AF-0012-01,Boat Airdopes Earbuds,Electronics,BOT33210-01,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-02,Boat Airdopes Earbuds,Electronics,BOT33210-02,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-03,Boat Airdopes Earbuds,Electronics,BOT33210-03,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-04,Boat Airdopes Earbuds,Electronics,BOT33210-04,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-05,Boat Airdopes Earbuds,Electronics,BOT33210-05,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-06,Boat Airdopes Earbuds,Electronics,BOT33210-06,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-07,Boat Airdopes Earbuds,Electronics,BOT33210-07,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-08,Boat Airdopes Earbuds,Electronics,BOT33210-08,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-09,Boat Airdopes Earbuds,Electronics,BOT33210-09,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-10,Boat Airdopes Earbuds,Electronics,BOT33210-10,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-11,Boat Airdopes Earbuds,Electronics,BOT33210-11,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-12,Boat Airdopes Earbuds,Electronics,BOT33210-12,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-13,Boat Airdopes Earbuds,Electronics,BOT33210-13,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-14,Boat Airdopes Earbuds,Electronics,BOT33210-14,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-15,Boat Airdopes Earbuds,Electronics,BOT33210-15,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-16,Boat Airdopes Earbuds,Electronics,BOT33210-16,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-17,Boat Airdopes Earbuds,Electronics,BOT33210-17,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-18,Boat Airdopes Earbuds,Electronics,BOT33210-18,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-19,Boat Airdopes Earbuds,Electronics,BOT33210-19,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0012-20,Boat Airdopes Earbuds,Electronics,BOT33210-20,05-12-2023,Good,Ops Floor 1,TRUE,Available
AF-0013-01,Samsung Galaxy Buds,Electronics,SAM44521-01,25-01-2024,Good,HR Floor 1,TRUE,Available
AF-0013-02,Samsung Galaxy Buds,Electronics,SAM44521-02,25-01-2024,Good,HR Floor 1,TRUE,Available
AF-0013-03,Samsung Galaxy Buds,Electronics,SAM44521-03,25-01-2024,Good,HR Floor 1,TRUE,Available
AF-0013-04,Samsung Galaxy Buds,Electronics,SAM44521-04,25-01-2024,Good,HR Floor 1,TRUE,Available
AF-0013-05,Samsung Galaxy Buds,Electronics,SAM44521-05,25-01-2024,Good,HR Floor 1,TRUE,Available
AF-0013-06,Samsung Galaxy Buds,Electronics,SAM44521-06,25-01-2024,Good,HR Floor 1,TRUE,Available
AF-0013-07,Samsung Galaxy Buds,Electronics,SAM44521-07,25-01-2024,Good,HR Floor 1,TRUE,Available
AF-0013-08,Samsung Galaxy Buds,Electronics,SAM44521-08,25-01-2024,Good,HR Floor 1,TRUE,Available
AF-0013-09,Samsung Galaxy Buds,Electronics,SAM44521-09,25-01-2024,Good,HR Floor 1,TRUE,Available
AF-0013-10,Samsung Galaxy Buds,Electronics,SAM44521-10,25-01-2024,Good,HR Floor 1,TRUE,Available
AF-0013-11,Samsung Galaxy Buds,Electronics,SAM44521-11,25-01-2024,Good,HR Floor 1,TRUE,Available
AF-0013-12,Samsung Galaxy Buds,Electronics,SAM44521-12,25-01-2024,Good,HR Floor 1,TRUE,Available
AF-0013-13,Samsung Galaxy Buds,Electronics,SAM44521-13,25-01-2024,Good,HR Floor 1,TRUE,Available
AF-0013-14,Samsung Galaxy Buds,Electronics,SAM44521-14,25-01-2024,Good,HR Floor 1,TRUE,Available
AF-0013-15,Samsung Galaxy Buds,Electronics,SAM44521-15,25-01-2024,Good,HR Floor 1,TRUE,Available
AF-0014,Meeting Hall A,Meeting Room,,01-01-2021,Good,Building B,TRUE,Available
AF-0015,Meeting Hall B2,Meeting Room,,01-01-2022,Good,Building A,TRUE,Available
AF-0016,Meeting Hall C - Boardroom,Meeting Room,,15-06-2021,Good,Building A,TRUE,Available
AF-0017,Training Hall D,Meeting Room,,01-09-2020,Fair,Building C,TRUE,Available
AF-0018,Toyota Innova,Vehicle,VEH77213,20-05-2021,Good,Parking Bay 1,TRUE,Available
AF-0019,Maruti Suzuki Ertiga,Vehicle,VEH77214,10-08-2022,Good,Parking Bay 1,TRUE,Available
AF-0020,Mahindra Bolero,Vehicle,VEH77215,15-02-2020,Fair,Parking Bay 2,TRUE,Available
AF-0021,Honda Activa (Delivery),Vehicle,VEH77216,05-01-2023,Good,Parking Bay 2,FALSE,Under Maintenance
AF-0022,Toyota Etios Taxi,Vehicle,VEH77217,11-04-2022,Good,Parking Bay 1,TRUE,Available
AF-0023,Toyota Innova Crysta Taxi,Vehicle,VEH77218,18-02-2023,Good,Parking Bay 1,TRUE,Available
AF-0024,Mahindra Xylo Taxi (7-seater),Vehicle,VEH77219,09-09-2021,Fair,Parking Bay 2,TRUE,Available
AF-0025,Force Traveller Van (12-seater),Vehicle,VEH77220,01-12-2022,Good,Parking Bay 2,TRUE,Available
AF-0026,Tata Winger Shuttle (15-seater),Vehicle,VEH77221,25-05-2023,Good,Parking Bay 3,TRUE,Available
